01/01/2009	New Year's Day
06/01/2009  Epiphany
10/04/2009	Good Friday
13/04/2009	Easter Monday
01/05/2009	May Day
03/05/2009	Constitution Day
25/05/2009	Spring Bank Holiday
15/08/2009  Assumption of Mary
31/08/2009	Summer Bank Holiday
01/11/2009  All Saints' Day
11/11/2009  Independence Day
25/12/2009	Christmas
26/12/2009	Christmas2
28/12/2009	Boxing Day
01/01/2010	New Year's Day
06/01/2010  Epiphany
02/04/2010	Good Friday
05/04/2010	Easter Monday
01/05/2010	May Day
03/05/2010	Constitution Day
31/05/2010	Spring Bank Holiday
15/08/2010  Assumption of Mary
30/08/2010	Summer Bank Holiday
01/11/2010  All Saints' Day
11/11/2010  Independence Day
27/12/2010	Boxing Day
28/12/2010	Christmas
26/12/2010	Christmas2
03/01/2011	New Year's Day
06/01/2011  Epiphany
22/04/2011	Good Friday
25/04/2011	Easter Monday
01/05/2011	May Day
03/05/2011	Constitution Day
30/05/2011	Spring Bank Holiday
15/08/2011  Assumption of Mary
29/08/2011	Summer Bank Holiday
01/11/2011  All Saints' Day
11/11/2011  Independence Day
26/12/2011	Boxing Day
27/12/2011	Christmas
26/12/2011	Christmas2
02/01/2012	New Year's Day
06/01/2012  Epiphany
06/04/2012	Good Friday
09/04/2012	Easter Monday
01/05/2012	May Day
03/05/2012	Constitution Day
28/05/2012	Spring Bank Holiday
15/08/2012  Assumption of Mary
27/08/2012	Summer Bank Holiday
01/11/2012  All Saints' Day
11/11/2012  Independence Day
25/12/2012	Christmas
26/12/2012	Christmas2
26/12/2012	Boxing Day
01/01/2013	New Year's Day
06/01/2013  Epiphany
29/03/2013	Good Friday
01/04/2013	Easter Monday
01/05/2013	May Day
03/05/2013	Constitution Day
27/05/2013	Spring Bank Holiday
15/08/2013  Assumption of Mary
26/08/2013	Summer Bank Holiday
01/11/2013  All Saints' Day
11/11/2013  Independence Day
25/12/2013	Christmas
26/12/2013	Christmas2
26/12/2013	Boxing Day
01/01/2014	New Year's Day
06/01/2014  Epiphany
18/04/2014	Good Friday
21/04/2014	Easter Monday
01/05/2014	May Day
03/05/2014	Constitution Day
26/05/2014	Spring Bank Holiday
15/08/2014  Assumption of Mary
25/08/2014	Summer Bank Holiday
01/11/2014  All Saints' Day
11/11/2014  Independence Day
25/12/2014	Christmas
26/12/2014	Christmas2
26/12/2014	Boxing Day
01/01/2015	New Year's Day
06/01/2015  Epiphany
03/04/2015	Good Friday
06/04/2015	Easter Monday
01/05/2015	May Day
03/05/2015	Constitution Day
25/05/2015	Spring Bank Holiday
15/08/2015  Assumption of Mary
31/08/2015	Summer Bank Holiday
01/11/2015  All Saints' Day
11/11/2015  Independence Day
25/12/2015	Christmas
26/12/2015	Christmas2
28/12/2015	Boxing Day
01/01/2016	New Year's Day
06/01/2016  Epiphany
25/03/2016	Good Friday
28/03/2016	Easter Monday
01/05/2016	May Day
03/05/2016	Constitution Day
30/05/2016	Spring Bank Holiday
15/08/2016  Assumption of Mary
29/08/2016	Summer Bank Holiday
01/11/2016  All Saints' Day
11/11/2016  Independence Day
26/12/2016	Boxing Day
27/12/2016	Christmas
26/12/2016	Christmas2
02/01/2017	New Year's Day
06/01/2017  Epiphany
14/04/2017	Good Friday
17/04/2017	Easter Monday
01/05/2017	May Day
03/05/2017	Constitution Day
29/05/2017	Spring Bank Holiday
15/08/2017  Assumption of Mary
28/08/2017	Summer Bank Holiday
01/11/2017  All Saints' Day
11/11/2017  Independence Day
25/12/2017	Christmas
26/12/2017	Christmas2
26/12/2017	Boxing Day
01/01/2018	New Year's Day
06/01/2018  Epiphany
30/03/2018	Good Friday
02/04/2018	Easter Monday
01/05/2018	May Day
03/05/2018	Constitution Day
28/05/2018	Spring Bank Holiday
15/08/2018  Assumption of Mary
27/08/2018	Summer Bank Holiday
01/11/2018  All Saints' Day
11/11/2018  Independence Day
25/12/2018	Christmas
26/12/2018	Christmas2
26/12/2018	Boxing Day
01/01/2019	New Year's Day
06/01/2019  Epiphany
19/04/2019	Good Friday
22/04/2019	Easter Monday
01/05/2019	May Day
03/05/2019	Constitution Day
27/05/2019	Spring Bank Holiday
15/08/2019  Assumption of Mary
26/08/2019	Summer Bank Holiday
01/11/2019  All Saints' Day
11/11/2019  Independence Day
25/12/2019	Christmas
26/12/2019	Christmas2
26/12/2019	Boxing Day
01/01/2020	New Year's Day
06/01/2020  Epiphany
10/04/2020	Good Friday
13/04/2020	Easter Monday
01/05/2020	May Day
03/05/2020	Constitution Day
25/05/2020	Spring Bank Holiday
15/08/2020  Assumption of Mary
31/08/2020	Summer Bank Holiday
01/11/2020  All Saints' Day
11/11/2020  Independence Day
25/12/2020	Christmas
26/12/2020	Christmas2
